0,1,2,3,4,5,6,7
Date/time, Game, Net, Rtg., +/-, Vwrs., +/-, A18-49
Late, GB-SF, FOX, 22.0, -20%, 42.79M, -21%, 12.2
Early, TEN-KC, CBS, 23.1, -6%, 41.10M, -7%, 10.7
Date/time, Game, Net, Rtg., +/-, Vwrs., +/-, A18-49
Late Sun., SEA-GB, FOX, 20.0, -4%, 37.24M, -2%, 10.5
Early Sun., HOU-KC, CBS, 20.3, +19%, 35.40M, +21%, 9.5
Late Sat., TEN-BAL, CBS, 16.0, -11%, 29.41M, -12%, 8.3
Early Sat., MIN-SF, NBC, 16.6, -1%, 29.29M, +1%, 7.6
Late Sun., SEA-PHI, NBC, 19.2, -3%, 35.12M, -2%, 9.8
Late Sat., TEN-NE, CBS, 17.1, +8%, 31.42M, +7%, 8.9
Early Sun., MIN-NO, FOX, 17.4, +13%, 29.93M, +18%, 7.9
Early Sat., BUF-HOU, ESPNABC, 15.2, +13%, 26.34M, +14%, 6.9
Date/time, Game, Net, Rtg., +/-, Vwrs., +/-, A18-49
SNF, SF-SEA, NBC, 12.5, +34%, 22.85M, +42%, 6.2
Late DH, WSH-DAL (74%), FOX, 11.6, -1%, 21.00M, -1%, 5.3
Late DH, Various, CBS, 8.5, -11%, 14.90M, -1%, 3.6
Early DH, GB-DET (68%), FOX, 8.3, -15%, 14.43M, -13%, 3.6
Early DH, Various, CBS, 7.5, +39%, 12.53M, +41%, 2.9
Date/time, Game, Net, Rtg., +/-, Vwrs., +/-, A18-49
Late DH, DAL-PHI (88%), FOX, 14.2, +6%, 25.32M, +6%, 6.4
SNF, KC-CHI, NBC, 9.7, -11%, 17.03M, -13%, 4.6
Early DH, NO-TEN (75%), FOX, 8.35, -2%, 13.78M, -5%, 3.2
MNF, GB-MIN, ESPN, 7.8, +73%, 13.57M, +58%, 3.6
Single, BAL-CLE (59%), CBS, 7.5, -20%, 12.54M, -23%, 3.0
Special, BUF-NE, NFLN, 5.5, +53%, 9.60M, +55%, 2.5
Special, LAR-SF, NFLN, 4.8, +5%, 8.50M, +4%, 2.4
Special, HOU-TB, NFLN, 3.3, —, 5.32M, —, 1.4
Date/time, Game, Net, Rtg., +/-, Vwrs., +/-, A18-49
Late DH, LAR-DAL (87%), FOX, 13.1, -8%, 23.02M, -6%, 6.1
SNF, BUF-PIT, NBC, 10.5, -3%, 18.14M, +0.1%, 5.0
Single, HOU-TEN (27%);MIN-LAC (25%), CBS, 9.8, -16%, 16.77M, -16%, 4.3
Early DH, CHI-GB (58%), FOX, 9.4, +45%, 15.87M, +44%, 4.0
TNF, NYJ-BAL, FOXNFLN, 7.5, -29%, 12.14M, -30%, 3.4
MNF, IND-NO, ESPN, 6.5, -18%, 11.06M, -15%, 3.4
Date/time, Game, Net, Rtg., +/-, Vwrs., +/-, A18-49
Late DH, KC-NE (83%), CBS, 16.1, +13%, 28.11M, +12%, 7.1
TNF, DAL-CHI, FOXNFLN, 10.8, +61%, 18.0M, +66%, 5.0
SNF, SEA-LAR, NBC, 10.2, -9%, 17.88M, -8%, 5.3
Single, SF-NO (55%), FOX, 10.4, +6%, 17.76M, +6%, 4.5
Early DH, BAL-BUF (68%), CBS, 7.6, -16%, 12.59M, -17%, 3.3
MNF, NYG-PHI, ESPN, 6.9, flat, 11.36M, -0.3%, 3.5
Date/time, Game, Net, Rtg., +/-, Vwrs., +/-, A18-49
Special, BUF-DAL, CBS, 13.5, +8%, 32.64M, +7%, 9.3
Special, CHI-DET, FOX, 12.3, flat, 27.09M, +2%, 7.7
Late DH, OAK-KC (89%), CBS, 12.2, -10%, 21.90M, -6%, 5.8
SNF, NE-HOU, NBC, 12.3, +17%, 21.45M, +20%, 6.2
Single, SF-BAL (58%), FOX, 12.0, +45%, 20.90M, +50%, 5.6
Special, NO-ATL, NBC, 9.9, -2%, 20.81M, -4%, 5.6
MNF, MIN-SEA, ESPN, 8.2, +19%, 14.03M, +25%, 4.4
Early DH, CLE-PIT (71%), CBS, 7.0, -20%, 11.88M, -16%, 3.0
Date/time, Game, Net, Rtg., +/-, Vwrs., +/-, A18-49
Late DH, DAL-NE, FOX, 16.5, +22%, 29.47M, +25%, 7.8
SNF, GB-SF, NBC, 11.8, +2%, 20.83M, +2%, 5.9
